iter	RMSE
0	4.483235545
1	4.292004476
2	4.112931436
3	3.942327882
4	3.783277345
5	3.631998852
6	3.489531179
7	3.356415809
8	3.228998105
9	3.111104232
10	2.998852829
11	2.893728223
12	2.794292172
13	2.701799618
14	2.615659996
15	2.534775389
16	2.459003299
17	2.38785225
18	2.32149542
19	2.260234574
20	2.20252467
21	2.150050539
22	2.100013222
23	2.053163969
24	2.007804035
25	1.966921267
26	1.927869536
27	1.892950641
28	1.860377184
29	1.828710734
30	1.800849136
31	1.772159952
32	1.748149253
33	1.72424177
34	1.70295937
35	1.68315177
36	1.663567263
37	1.646641541
38	1.630439886
39	1.615117917
40	1.59677438
41	1.583156619
42	1.567098093
43	1.554022773
44	1.542575956
45	1.532037329
46	1.520022578
47	1.510311724
48	1.501062695
49	1.490811696
50	1.483143485
51	1.476302495
52	1.466407672
53	1.458421937
54	1.453052421
55	1.443022807
56	1.435328935
57	1.429243815
58	1.424810851
59	1.419770326
60	1.412175581
61	1.406992329
62	1.400143104
63	1.397239815
64	1.393841535
65	1.389148967
66	1.381972517
67	1.374872778
68	1.372571509
69	1.365607074
70	1.362679719
71	1.355689132
72	1.350558705
73	1.346909624
74	1.342090795
75	1.337884851
76	1.333809003
77	1.331112951
78	1.327846408
79	1.325230047
80	1.323181527
81	1.320420154
82	1.317387957
83	1.31298426
84	1.310857364
85	1.307769434
86	1.306161647
87	1.302140239
88	1.299514939
89	1.298180469
90	1.292506236
91	1.290663085
92	1.286157139
93	1.284991384
94	1.28221231
95	1.277373586
96	1.27625425
97	1.275199614
98	1.273955827
99	1.270041899
100	1.267529348
101	1.264836036
102	1.263737323
103	1.260236061
104	1.258387195
105	1.256166482
106	1.254954721
107	1.253047203
108	1.251876918
109	1.248779189
110	1.247500428
111	1.246704324
112	1.244776619
113	1.241664303
114	1.239576183
115	1.238323134
116	1.235695967
117	1.232424391
118	1.230424475
119	1.228609572
120	1.226965875
121	1.224492688
122	1.223758959
123	1.222036732
124	1.219882121
125	1.219195427
126	1.21568343
127	1.213740605
128	1.208847513
129	1.206608952
130	1.205780799
131	1.203407553
132	1.20159548
133	1.200508733
134	1.198876889
135	1.198115054
136	1.196946254
137	1.19481894
138	1.193139271
139	1.191300225
140	1.189910621
141	1.188212353
142	1.183887304
143	1.182113489
144	1.17990082
145	1.17870003
146	1.177716821
147	1.175166574
148	1.173447718
149	1.171864931
150	1.170650668
151	1.168954515
152	1.168367311
153	1.166654006
154	1.164314556
155	1.162911447
156	1.161202278
157	1.158532148
158	1.157998524
159	1.156427382
160	1.15545597
161	1.153565393
162	1.149561752
163	1.145884673
164	1.144891372
165	1.141589983
166	1.140861727
167	1.138867297
168	1.137825477
169	1.137076761
170	1.133556721
171	1.131400346
172	1.129773113
173	1.128664643
174	1.124935777
175	1.123757112
176	1.12077123
177	1.119074355
178	1.117376712
179	1.116877522
180	1.114139992
181	1.11329028
182	1.112985537
183	1.111388941
184	1.110263796
185	1.109777987
186	1.108616777
187	1.107505214
188	1.104545802
189	1.103443463
190	1.101238907
191	1.099207844
192	1.096267851
193	1.093140058
194	1.092199446
195	1.090652766
