iter	Passed	Remaining
0	10	5048
1	16	4184
2	24	3991
3	31	3882
4	37	3745
5	44	3687
6	51	3633
7	58	3591
8	65	3579
9	72	3564
10	79	3529
11	86	3504
12	93	3500
13	100	3495
14	108	3498
15	115	3487
16	122	3473
17	128	3449
18	135	3431
19	143	3435
20	150	3439
21	158	3442
22	165	3431
23	172	3425
24	179	3415
25	186	3404
26	194	3405
27	201	3400
28	209	3402
29	216	3395
30	224	3393
31	232	3393
32	239	3386
33	246	3376
34	253	3370
35	261	3371
36	269	3372
37	277	3368
38	285	3369
39	292	3358
40	300	3365
41	308	3362
42	316	3359
43	323	3347
44	329	3335
45	337	3326
46	344	3318
47	350	3299
48	357	3290
49	364	3283
50	372	3276
51	379	3267
52	386	3262
53	394	3259
54	402	3255
55	409	3246
56	416	3238
57	422	3221
58	430	3214
59	436	3203
60	443	3194
61	450	3181
62	457	3171
63	463	3157
64	469	3140
65	476	3130
66	482	3119
67	489	3110
68	495	3096
69	503	3089
70	509	3076
71	516	3070
72	524	3065
73	531	3059
74	539	3058
75	546	3049
76	554	3044
77	562	3041
78	568	3032
79	575	3022
80	582	3013
81	589	3002
82	597	3000
83	604	2994
84	612	2988
85	619	2982
86	627	2977
87	634	2968
88	640	2957
89	647	2949
90	654	2939
91	660	2928
92	666	2918
93	673	2908
94	679	2896
95	686	2889
96	693	2881
97	700	2873
98	708	2868
99	714	2858
100	720	2846
101	726	2836
102	733	2825
103	740	2818
104	747	2813
105	755	2806
106	761	2797
107	767	2786
108	774	2779
109	781	2770
110	788	2764
111	796	2758
112	802	2748
113	808	2737
114	816	2731
115	822	2722
116	829	2714
117	835	2705
118	842	2698
119	848	2687
120	855	2678
121	861	2668
122	868	2662
123	874	2653
124	881	2645
125	888	2637
126	894	2628
127	900	2617
128	907	2609
129	912	2597
130	919	2588
131	926	2582
132	932	2572
133	939	2564
134	944	2554
135	952	2548
136	959	2541
137	967	2537
138	973	2528
139	980	2520
140	986	2510
141	992	2501
142	998	2493
143	1004	2483
144	1010	2474
145	1016	2464
146	1022	2455
147	1028	2445
148	1035	2439
149	1041	2430
150	1047	2421
151	1053	2412
152	1060	2406
153	1067	2398
154	1073	2390
155	1080	2383
156	1087	2376
157	1095	2371
158	1104	2368
159	1111	2361
160	1118	2354
161	1125	2347
162	1131	2339
163	1138	2332
164	1145	2325
165	1152	2318
166	1159	2312
167	1166	2305
168	1173	2299
169	1181	2294
170	1189	2288
171	1195	2279
172	1201	2271
173	1207	2262
174	1214	2254
175	1221	2248
176	1228	2241
177	1235	2235
178	1242	2228
179	1250	2222
180	1256	2214
181	1262	2205
182	1268	2197
183	1275	2190
184	1281	2181
185	1286	2171
186	1293	2165
187	1299	2156
188	1306	2149
189	1312	2140
190	1319	2134
191	1325	2125
192	1331	2117
193	1338	2110
194	1345	2103
195	1350	2095
196	1357	2088
197	1364	2081
198	1371	2073
199	1377	2066
200	1385	2060
201	1391	2052
202	1399	2047
203	1406	2041
204	1412	2032
205	1420	2026
206	1426	2018
207	1431	2010
208	1439	2004
209	1445	1995
210	1450	1987
211	1456	1978
212	1462	1970
213	1469	1963
214	1476	1956
215	1484	1951
216	1490	1943
217	1497	1937
218	1504	1929
219	1511	1923
220	1517	1915
221	1523	1907
222	1531	1901
223	1536	1892
224	1543	1886
225	1550	1879
226	1556	1872
227	1564	1866
228	1571	1859
229	1578	1852
230	1584	1845
231	1591	1838
232	1597	1830
233	1603	1823
234	1610	1816
235	1615	1807
236	1622	1800
237	1630	1794
238	1637	1787
239	1643	1779
240	1650	1773
241	1656	1766
242	1662	1758
243	1670	1752
244	1676	1744
245	1682	1736
246	1688	1729
